song,play_count,title,release,artist_name,song_era
SOAAAGQ12A8C1420C8,6,Orgelblut,Dolores,Bohren & Der Club Of Gore,2005
SOAABMP12A6D4F7633,2,Goomba Boomba,Mambo! (World),Yma Sumac,1950
SOAABVA12AC3DF673F,2,Can't Get Over You,Everything Goes Wrong,Vivian Girls,2005
SOAACPJ12A81C21360,4,Cearc Agus Coileach / The Hen And Cock,Casadh/Turning,Mícheál Ó Súilleabháin,0
SOAACTC12AB0186A20,2,Christmas Is Coming Soon,I'll Stay 'Til After Christmas,Blitzen Trapper,2005
SOAADCB12A81C22AFA,3,Ballade Op.24 in G Minor,Ballad for Edvard Grieg,Leif Ove Andsnes/John Fraser,0
SOAAEJI12AB0188AB5,4,Godlovesugly,God Loves Ugly,Atmosphere,0
SOAAEKX12A6D4F7E4E,2,I Remember Clifford,Diz,Gonzalo Rubalcaba,0
SOAAFAC12A67ADF7EB,6,Rome Wasn't Built In A Day,Parts Of The Process,Morcheeba,2000
SOAAFBZ12AB01842D7,1,The Air We Share,The Battle Of Electricity,The Gerbils,2000
SOAAFYH12A8C13717A,2,Jesus Loves You (Album Version),Expect The Impossible,Stellar Kart,2005
SOAAGRU12A8C13C8FB,1,Sambules,Nicola Conte Presents Viagem,Octeto de Cesar Camargo Mariano,0
SOAAGYY12A6D4F705E,4,Rest Of Your Life,Street Music,Redrama,2005
SOAAIJG12AAA15D821,1,Radio Cure,For All I Care,The Bad Plus,2005
SOAAIWE12A8AE4706B,1,Led Boots,Original Album Classics,Jeff Beck,1975
SOAAKEA12AF72A926F,7,The Cynic,No Balance Palace,Kashmir,2005
SOAAKFY12A6D4F7B03,14,She Won't Let Me F**k,The Good Times,Afroman,2000
SOAAKJX12AB017D896,2,Nightdrive With You,Laptop,Anoraak,2005
SOAAKPM12A58A77210,4,So Confused (feat. Butta Creame) (amended album version),Late Night Special,Pretty Ricky,2005
SOAAKSG12A8C136679,10,Worrisome Heart,Worrisome Heart,Melody Gardot,2005
SOAALGG12A8C13D064,3,No Money No Home,Mexico,Jean Leclerc,2005
SOAALJB12A8C13C4B6,1,Manthem,Bouncing Souls Live,Bouncing Souls_ The,2000
SOAAMAA12A58A7F88A,1,There Is So Much More,So Much More,Brett Dennen,2005
SOAAMDO12A6D4FE27C,1,21st Century Living,Avalanche,Matthew Good,2000
SOAAMPN12A6310D812,1,When I'm Flowin',The 18th Letter / The Book Of Life,Rakim,0
SOAAMWQ12A8C144DF1,6,Happy Nation,Happy Nation - U.S. Version,Ace of Base,1990
SOAAMWW12A8C14394D,1,Cumbia de los Aburridos,Residente o Visitante,Calle 13,2005
SOAANAX12AB017E7F3,1,Tell Me A Story,Songs From Under The Sink,Mischief Brew,0
SOAAOYI12AB01831CE,4,Criminal,Gotan Project live,Gotan Project,2005
SOAAPKC12AC4689961,1,World Of Hurt,Sub Focus,Sub Focus,2005
SOAAPOW12A58A787BA,2,January Twenty Something,Eskimo Snow,Why?,0
SOAAPTP12A8AE46F86,4,Too Funky,Twenty Five,George Michael,1990
SOAAPVS12A6D4F74B8,2,Mr Collins_ Mr Collins,Iceman,Albert Collins,1990
SOAAQMC12A8C13F665,1,Jah Kingdom,Bikini Bandits Kill Kill Kill,Bong-ra,0
SOAAQXG12AB017E149,2,UnBirthday,Last Exit,Junior Boys,2000
SOAAROC12A6D4FA420,17,Juke Box Hero (Remastered LP Version ),Definitive Collection,Foreigner,0
SOAARXR12A8C133D15,1,Aunt Eggma Blowtorch,Everything Is,Neutral Milk Hotel,1995
SOAATAD12A8C145609,3,Head Bobs,Behind The Front,Black Eyed Peas,1995
SOAATHE12A8C13ADD6,8,Radio,Maybe I'll Catch Fire,Alkaline Trio,2000
SOAATLI12A8C13E319,7,Love Don't Live Here Anymore,Rhino Hi-Five: Rose Royce,Rose Royce,1975
SOAATMV12A6D4FD077,1,Scary Eyes,Lost In Space EP (Chapter 2),Avantasia,2005
SOAATXC12A8C1374D5,1,Pagan Dance,Desert Visions,Prem Joshua,1995
SOAATZG12A6D4FB7AA,1,hallelujah USA,Movements,Booka Shade,2005
SOAAUAY12AC9DCC618,1,Close,Circle,Boom Bip & Doseone,0
SOAAUDN12AAF3B599F,2,You're Nobody Till Somebody Loves You (Album Version),Crazy Love,Michael Bublé,2005
SOAAUFG12A6D4FA966,1,Life's Greatest Fool (LP Version),No Other,Gene Clark,1970
SOAAUKC12AB017F868,12,My Shepherd (Psalms 23) (featuring Kurt Carr & Avalon),Just The Beginning,Kurt Carr & The Kurt Carr Singers,0
SOAAUPC12AAA8C861F,1,Reconsider Everything,eVolver,311,2000
SOAAVUV12AB0186646,58,STARSTRUKK [FEATURINGKATYPERRY] (Explicit Bonus Version),WANT,3OH!3,2005
SOAAWEE12A6D4FBEC8,31,Hallelujah (Album Version),Riot!,Paramore,0
SOAAWUC12A81C22D33,4,Et puis merde je vote à droite !,Pamplemousse Mécanique,Fatals Picards,2005
SOAAXCR12AB017C019,4,Pass The Peas,Life on Planet Groove,Maceo Parker,1990
SOAAXRF12A8AE45DED,1,Abandon Ship Or Abandon All Hope,Rise Or Die Trying,Four Year Strong,2005
SOAAXWU12AC3DFB5B8,2,Sweep And Repeat,Sweep & Repeat,Richard Durand,0
SOAAYGU12A8C13C812,2,Place In Between,In Between,Jazzanova,2000
SOAAYZZ12A67ADE312,2,Besser Geht's Nicht (Jesse-Rose-Mix),Besser Geht's Nicht + Jesse Rose Mix,2raumwohnung,0
SOAAZNX12A6D4F5EF8,3,Irlande,Opera Sauvage,Vangelis,1975
SOAAZPG12A6D4F8D8B,4,Everything I Cannot See,5:55,Charlotte Gainsbourg,2005
SOAAZTZ12A8C131D62,2,Trompe Le Monde,Trompe Le Monde,Pixies,1990
SOABANH12A8C13C5B4,1,Sagal ko (Honor Her) / To dois la proteger,Nothing's in Vain,Youssou N'Dour,0
SOABBCD12AF729FE7C,1,Sol Tapado,Silencio= Muerte: Red Hot + Latin Redux,Thievery Corporation,2005
SOABBES12AF72ACF1E,1,Raise Your Hands To Rock,Music To Crash Your Car To,Mötley Crüe,1985
SOABBNQ12A8C13EFC4,1,Mr. President (EP Version),Metropolis: The Chase Suite,Janelle Monae,2005
SOABBSX12AB0188F1D,1,FUN! (album),Zambony,K-OS,0
SOABBXP12AB018D0BC,6,Navegante,De Vuelos y de Sol,Fernando Delgadillo,0
SOABBYY12A58A7BACC,1,XVI B Flat Minor [24 Preludes and Fugues op. 87] (Dimitri Shostakovich),Dimitri Shostakovich: 24 Preludes and Fugues,Keith Jarrett,0
SOABBYY12AB0181CB0,10,Vampire Love,Heart Attack,Hello Goodbye,0
SOABCBI12A67AE1F27,1,Follow My Ruin,The Understanding,Röyksopp,2005
SOABCQM12A8C131294,1,Fire,We Come To Party,Rebirth Brass Band,0
SOABDEW12A6D4FA001,5,Disco Dance With You,Disco Dance With You,Teki Latex,2005
SOABDKL12A6701D928,2,This Is A Forgery,Rapid Hope Loss,Dashboard Confessional,2000
SOABDXV12AB01808E5,4,Bitter Heart,Zee Avi,Zee Avi,2005
SOABEZL12AAF3B1F1E,1,Ein Teil von Mir,Ein Teil Von Mir,Sido,2005
SOABFIJ12AB017F894,1,South Of The Border,Sleeping in traffic: Part two,Beardfish,2005
SOABFQJ12AB0183C89,1,Gangsta,Rich Boy,Rich Boy / Mark Twain,2005
SOABFYA12A6D4F7AD5,1,Leaning On A Lamp Post,The Best Of The EMI Years_Vol One 64-66,Herman's Hermits,1970
SOABGOB12A6701D1FA,2,Brand New Day,Brand New Day,Sting,1995
SOABGQW12AB017CFB2,1,Up Side Down (Explicit),Full Circle,Drowning Pool,2005
SOABGRG12A6701C4BF,1,Roadrunner,Tease Me,Chaka Demus & Pliers,1990
SOABGZH12AB0181D31,3,Up the Wooden Hills to Bedfordshire,Small Faces,Small Faces,1965
SOABGZY12AB018B950,2,These Sonnets Of Our Lives,Lay Waste The Poets,Inked In Blood,2005
SOABHAD12AB0184B3F,1,You're Aging Well,The Honesty Room,Dar Williams,1995
SOABHNP12A8AE46E82,9,Psycho,Psycho,Puddle Of Mudd,2005
SOABHYV12A6D4F6D0F,5,Shadow Of The Day (Album Version),Minutes To Midnight,Linkin Park,2005
SOABISN12A670203E1,7,Keys To Your Heart (Version 2) (2005 Digital Remaster),Elgin Avenue Breakdown (Revisited),The 101ers,0
SOABJBU12A8C13F63F,76,Back Against The Wall,Cage The Elephant,Cage The Elephant,2005
SOABJGZ12A58A7D2E2,2,Teenage Lust (LP Version),The Big Bang - The Best Of MC5,MC5,0
SOABJQJ12A8C138B20,2,Mein bester Freund,Die Prinzen - A Capella Album,Die Prinzen,1990
SOABJTC12A58A7DE0E,6,Halo,Doll Domination 3.0,The Pussycat Dolls,2005
SOABJVL12A8C136016,1,Goodbyes,Blood Diamond,James Newton Howard,2005
